demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/33,JO,33,C/EGD/1323,Anti-baptism,,jhm,2001-06-13T13:16:10,jhm,2001-06-13T13:16:11
DP/JO/34,JO,34,C/EGD/1323,Servant,,jhm,2001-06-13T13:16:14,jhm,2001-06-13T13:16:27
DP/JO/35,JO,35,C/EGD/1323,New name,Margaret,jhm,2001-06-13T13:16:29,jhm,2001-06-13T13:16:34
DP/JO/36,JO,36,C/EGD/1323,Devil's Mark,nip under right arm,jhm,2001-06-13T13:16:41,jhm,2001-06-13T13:17:01
DP/JO/369,JO,369,C/EGD/1924,Paction,,jhm,2001-09-25T09:58:13,jhm,2001-09-25T09:58:15
DP/JO/370,JO,370,C/EGD/1924,Possession,,jhm,2001-09-25T10:00:38,jhm,2001-09-25T10:00:40
DP/JO/371,JO,371,C/EGD/1367,Anti-baptism,,jhm,2001-10-19T10:32:44,jhm,2001-10-19T10:32:46
DP/JO/372,JO,372,C/EGD/1367,Body and soul,,jhm,2001-10-19T10:32:47,jhm,2001-10-19T10:32:48
DP/JO/373,JO,373,C/EGD/1367,Head and foot,,jhm,2001-10-19T10:32:51,jhm,2001-10-19T10:32:56
DP/JO/374,JO,374,C/EGD/1367,Servant,,jhm,2001-10-19T10:33:03,jhm,2001-10-19T10:33:16
DP/JO/375,JO,375,C/EGD/1368,Anti-baptism,,jhm,2001-10-19T10:55:05,jhm,2001-10-19T10:55:06
DP/JO/376,JO,376,C/EGD/1368,Body and soul,,jhm,2001-10-19T10:55:16,jhm,2001-10-19T10:55:18
DP/JO/377,JO,377,C/EGD/1368,Head and foot,,jhm,2001-10-19T10:55:23,jhm,2001-10-19T10:55:24
DP/JO/378,JO,378,C/EGD/1368,New name,Katharine,jhm,2001-10-19T10:55:32,jhm,2001-10-19T10:55:55
DP/JO/379,JO,379,C/EGD/1375,Anti-baptism,,jhm,2001-10-19T12:05:19,jhm,2001-10-19T12:05:19
DP/JO/380,JO,380,C/EGD/1375,Head and foot,,jhm,2001-10-19T12:05:25,jhm,2001-10-19T12:05:26
DP/JO/381,JO,381,C/EGD/1375,Body and soul,,jhm,2001-10-19T12:05:27,jhm,2001-10-19T12:05:27
DP/JO/382,JO,382,C/EGD/1375,New name,Elisabeth,jhm,2001-10-19T12:05:29,jhm,2001-10-19T12:05:37
DP/JO/383,JO,383,C/EGD/1375,Sex,nature cold,jhm,2001-10-19T12:05:42,jhm,2001-10-19T12:05:47
