meetingplaceref,meetingplacesystemid,meetingplaceid,caseref,meetingplace_place,inversion,location,createdby,createdate,lastupdatedby,lastupdatedon
MP/JO/137,JO,137,C/EGD/1954,Yard,false,own house,jhm,2001-07-10T09:12:34,jhm,2001-07-10T09:14:58
MP/JO/138,JO,138,C/EGD/402,,false,going to Edinburgh,jhm,2001-07-10T09:21:16,jhm,2001-07-10T09:22:35
MP/JO/139,JO,139,C/JO/2830,,false,'moremaddenhole' Leith,jhm,2001-07-10T10:05:45,jhm,2001-07-10T10:06:36
MP/JO/140,JO,140,C/JO/2830,,false,the 'Latch' Edinburgh,jhm,2001-07-10T10:06:00,jhm,2001-07-10T10:06:13
MP/JO/141,JO,141,C/JO/2830,Burn,false,,jhm,2001-07-10T10:06:57,jhm,2001-07-10T10:08:10
MP/JO/142,JO,142,C/LA/2786,,false,Windygoul,jhm,2001-07-10T10:33:20,jhm,2001-07-10T10:33:34
MP/JO/143,JO,143,C/LA/2786,Hilltop,false,Parson's Knoll,jhm,2001-07-10T10:33:36,jhm,2001-07-10T10:33:54
MP/JO/146,JO,146,C/EGD/402,House,false,her own house,jhm,2001-07-10T11:06:07,jhm,2001-07-10T11:06:32
MP/JO/147,JO,147,C/EGD/402,,false,Jock's Lodge,jhm,2001-07-10T11:07:20,jhm,2001-07-10T11:07:33
MP/JO/148,JO,148,C/LA/2785,House yard,false,own house,jhm,2001-07-10T12:06:03,jhm,2001-07-10T12:06:14
MP/JO/149,JO,149,C/LA/2785,House,false,in bedroom,jhm,2001-07-10T12:06:24,jhm,2001-07-10T12:06:37
MP/JO/150,JO,150,C/EGD/395,House,false,own house,jhm,2001-07-10T12:44:28,jhm,2001-07-10T12:44:38
MP/JO/151,JO,151,C/EGD/397,Loch,false,"lochside, beside meadow",jhm,2001-07-10T13:00:51,jhm,2001-07-10T13:01:16
MP/JO/152,JO,152,C/EGD/401,Hilltop,false,Gallolaw,jhm,2001-07-10T15:23:38,jhm,2001-07-10T15:23:45
MP/JO/153,JO,153,C/EGD/401,,false,Jock's Lodge,jhm,2001-07-10T15:23:46,jhm,2001-07-10T15:24:03
MP/JO/154,JO,154,C/EGD/1954,Road,false,Restalrig Loan,jhm,2001-07-10T15:36:41,jhm,2001-07-10T15:37:07
MP/JO/157,JO,157,C/EGD/398,House,false,own house window,jhm,2001-07-10T15:52:40,jhm,2001-07-10T15:53:02
MP/JO/158,JO,158,C/EGD/401,Burn,false,North Meadow burn,jhm,2001-07-10T16:05:11,jhm,2001-07-10T16:05:28
MP/JO/159,JO,159,C/EGD/396,Yard,false,Andrew Simmon's whinns,jhm,2001-07-11T09:52:39,jhm,2001-07-11T09:53:48
MP/JO/160,JO,160,C/EGD/400,Mill,false,'Breastmilne',jhm,2001-07-11T13:06:02,jhm,2001-07-11T13:07:37
MP/JO/165,JO,165,C/EGD/400,,false,Brownesmith?,jhm,2001-07-16T10:42:38,jhm,2001-07-16T10:45:40
MP/JO/170,JO,170,C/JO/2846,Coalpit,false,Southhundall?,jhm,2001-07-24T10:43:03,jhm,2001-07-24T10:44:55
MP/JO/173,JO,173,C/EGD/1298,Burn,false,Swynisburne,jhm,2001-07-26T16:09:19,jhm,2001-07-26T16:09:27
MP/JO/174,JO,174,C/EGD/1817,House,false,mother's house,jhm,2001-07-31T13:32:36,jhm,2002-10-22T12:54:45
MP/JO/175,JO,175,C/EGD/2005,Hilltop,false,Gallowberry Hill,jhm,2001-07-31T14:58:50,jhm,2001-07-31T15:28:36
MP/JO/176,JO,176,C/EGD/1859,Hilltop,false,Gallowberry Hill,jhm,2001-07-31T15:27:41,jhm,2001-07-31T15:28:11
MP/JO/177,JO,177,C/EGD/1860,,false,Kirkurd,jhm,2001-07-31T15:46:59,jhm,2001-07-31T15:47:08
MP/JO/178,JO,178,C/JO/2882,House,false,own house,jhm,2001-09-07T12:20:30,jhm,2001-09-07T12:20:46
MP/JO/179,JO,179,C/JO/2882,Bridge,false,Lintoun Bridge,jhm,2001-09-07T13:26:14,jhm,2001-09-07T13:26:59
MP/JO/294,JO,294,C/EGD/1367,Haugh,false,Samuelston,jhm,2001-10-19T10:34:59,jhm,2001-10-19T10:37:08
MP/JO/295,JO,295,C/EGD/1367,House,false,Own house,jhm,2001-10-19T10:36:50,jhm,2001-10-19T10:36:56
MP/JO/296,JO,296,C/EGD/1368,Burn,false,black burn beside Calfward,jhm,2001-10-19T10:56:11,jhm,2001-10-19T10:56:39
MP/JO/297,JO,297,C/EGD/1368,Moor,false,Begbiemure,jhm,2001-10-19T10:56:45,jhm,2001-10-19T10:57:31
MP/JO/298,JO,298,C/EGD/1368,Moor,false,Overboltonmure,jhm,2001-10-19T10:57:01,jhm,2001-10-19T10:58:09
MP/JO/299,JO,299,C/EGD/1368,Burn,false,Kirkland burn,jhm,2001-10-19T10:58:11,jhm,2001-10-19T11:04:46
MP/JO/300,JO,300,C/EGD/1375,House,false,own house,jhm,2001-10-19T12:07:01,jhm,2001-10-19T12:07:09
MP/JO/301,JO,301,C/EGD/1375,Moor,false,Boltonmure,jhm,2001-10-19T12:07:13,jhm,2001-10-19T12:07:20
MP/JO/302,JO,302,C/EGD/1375,Haugh,false,Samuelston,jhm,2001-10-19T12:07:32,jhm,2001-10-19T12:07:42
MP/JO/303,JO,303,C/EGD/1375,Moor,false,Pilmure,jhm,2001-10-19T12:07:43,jhm,2001-10-19T12:07:49
MP/JO/304,JO,304,C/EGD/1375,Burn,false,Black burn of Bolton,jhm,2001-10-19T12:07:53,jhm,2001-10-19T12:08:06
MP/JO/305,JO,305,C/EGD/1375,Moor,false,Begbiemure,jhm,2001-10-19T12:08:07,jhm,2001-10-19T12:09:14
MP/JO/306,JO,306,C/EGD/1372,House,false,outside own house,jhm,2001-10-19T12:20:59,jhm,2001-10-19T12:21:09
MP/JO/307,JO,307,C/EGD/1372,Moor,false,Baigbiemure,jhm,2001-10-19T12:21:11,jhm,2001-10-19T12:21:30
MP/JO/308,JO,308,C/EGD/1372,Burn,false,Black burn of Bolton,jhm,2001-10-19T12:21:33,jhm,2001-10-22T12:10:18
MP/JO/309,JO,309,C/EGD/1373,Moor,false,Baigbiemure,jhm,2001-10-19T12:40:07,jhm,2001-10-19T12:40:18
MP/JO/310,JO,310,C/EGD/1373,Burn,false,Black burn,jhm,2001-10-19T12:40:31,jhm,2001-10-19T12:40:54
MP/JO/311,JO,311,C/JO/2905,House,false,Elizabeth Lawson's house,jhm,2001-10-19T13:00:13,jhm,2001-10-19T13:00:29
MP/JO/312,JO,312,C/JO/2905,Yard,false,great yard of Blause,jhm,2001-10-19T13:00:30,jhm,2001-10-19T13:00:41
MP/JO/313,JO,313,C/JO/2905,Burn,false,Black burn,jhm,2001-10-19T13:00:43,jhm,2001-10-19T13:00:50
MP/JO/314,JO,314,C/JO/2905,Well,false,Cadger well,jhm,2001-10-19T13:00:54,jhm,2001-10-19T13:01:02
MP/JO/315,JO,315,C/EGD/1374,Burn,false,Black burn of Bolton,jhm,2001-10-19T13:09:14,jhm,2001-10-22T12:11:14
MP/JO/336,JO,336,C/EGD/1367,Burn,false,Blackburn of Bolton,jhm,2001-10-19T16:28:22,jhm,2001-10-19T16:28:31
MP/JO/337,JO,337,C/EGD/1367,Moor,false,baigbiemure,jhm,2001-10-19T16:28:31,jhm,2001-10-19T16:28:49
MP/JO/338,JO,338,C/EGD/1374,Moor,false,Baigbiemure,jhm,2001-10-19T16:29:22,jhm,2001-10-19T16:30:44
MP/JO/36,JO,36,C/EGD/2121,Mercat Cross,false,Aberdeen,jhm,2001-06-05T14:53:46,jhm,2001-06-05T14:54:43
MP/JO/37,JO,37,C/EGD/1324,House yard,false,Painston,jhm,2001-06-13T12:39:14,jhm,2001-06-13T12:40:19
MP/JO/38,JO,38,C/EGD/1324,Loch,false,Painston,jhm,2001-06-13T12:54:04,jhm,2001-06-13T12:54:24
MP/JO/39,JO,39,C/EGD/1324,Dam,false,Butter Dam,jhm,2001-06-13T12:59:49,jhm,2001-06-13T13:00:18
MP/JO/40,JO,40,C/EGD/1323,Dean bank head,false,Nisbot,jhm,2001-06-13T13:21:37,jhm,2001-06-13T13:22:54
MP/JO/41,JO,41,C/EGD/1323,Moor,false,,jhm,2001-06-13T13:22:59,jhm,2001-06-13T13:23:39
MP/JO/42,JO,42,C/EGD/1323,Moor,false,Gladsmuir,jhm,2001-06-13T13:23:42,jhm,2002-10-03T14:38:37
MP/JO/43,JO,43,C/EGD/1323,House,false,Nisbot,jhm,2001-06-13T13:24:12,jhm,2001-06-13T13:25:04
MP/JO/440,JO,440,C/EGD/1818,Hilltop,false,Gallowbeirnie Hill,jhm,2001-11-27T13:52:29,jhm,2001-11-27T13:53:06
MP/JO/451,JO,451,C/EGD/2387,Mill,false,,jhm,2002-02-07T10:23:44,jhm,2002-02-07T10:23:47
MP/JO/452,JO,452,C/EGD/2387,Bridge,false,,jhm,2002-02-07T10:23:50,jhm,2002-02-07T10:23:54
MP/JO/453,JO,453,C/EGD/2387,Waterside,false,West Mill,jhm,2002-02-07T10:23:55,jhm,2002-02-07T10:24:54
MP/JO/454,JO,454,C/JO/2959,House,false,her own house,jhm,2002-02-07T15:19:31,jhm,2002-02-07T15:19:41
MP/JO/455,JO,455,C/EGD/1848,Moor,false,common moor of Brechin at Lucifer's loch,jhm,2002-02-07T16:02:12,jhm,2002-02-07T16:02:30
MP/JO/48,JO,48,C/JO/2667,Moor,false,Foxton moor,jhm,2001-06-14T15:44:59,jhm,2001-06-14T15:45:08
MP/JO/49,JO,49,C/JO/2668,Moor,false,Foxton moor,jhm,2001-06-14T15:50:00,jhm,2001-06-14T15:50:07
MP/JO/50,JO,50,C/EGD/1337,,false,,jhm,2001-06-15T09:26:03,jhm,2001-06-15T09:27:52
MP/JO/550,JO,550,C/EGD/2153,Hilltop,false,Hill of Cragleauche,jhm,2002-03-07T16:21:33,jhm,2002-03-07T16:21:51
MP/JO/551,JO,551,C/EGD/2119,Mercat Cross,false,Aberdeen,jhm,2002-05-02T12:45:55,jhm,2002-05-02T12:55:51
MP/JO/552,JO,552,C/EGD/2119,Fish cross,false,Aberdeen,jhm,2002-05-02T12:55:35,jhm,2002-05-02T12:56:02
MP/JO/553,JO,553,C/EGD/2119,Meal market,false,Aberdeen,jhm,2002-05-02T12:56:04,jhm,2002-05-02T12:56:27
MP/JO/554,JO,554,C/EGD/2159,Jail,false,Slains,jhm,2002-05-09T13:05:59,jhm,2002-05-09T13:06:13
MP/JO/555,JO,555,C/EGD/2159,Loch,false,near her house,jhm,2002-05-09T13:06:26,jhm,2002-05-09T13:06:48
MP/JO/556,JO,556,C/EGD/2163,,false,between Lumphanan and Cragleuch,jhm,2002-05-14T16:17:02,jhm,2002-05-14T16:18:15
MP/JO/558,JO,558,C/EGD/2154,,false,Craigleauch,jhm,2002-05-16T11:55:19,jhm,2002-05-16T11:55:38
MP/JO/561,JO,561,C/EGD/2161,Foot of hill,false,Craigleuch,jhm,2002-06-03T12:28:32,jhm,2002-06-03T12:35:23
MP/JO/562,JO,562,C/EGD/2162,Hilltop,false,Hill of Cragleuche,jhm,2002-06-03T15:25:35,jhm,2002-06-03T15:26:08
MP/JO/565,JO,565,C/EGD/2130,Yard,false,Lammyntownis yard,jhm,2002-06-10T18:07:17,jhm,2002-06-10T18:07:38
MP/JO/566,JO,566,C/EGD/2130,yard,false,James Thomsoun's yard,jhm,2002-06-10T18:07:51,jhm,2002-06-10T18:08:03
MP/JO/567,JO,567,C/EGD/2130,Cross,false,Fish cross,jhm,2002-06-10T18:08:11,jhm,2002-06-10T18:08:18
MP/JO/568,JO,568,C/EGD/2130,Mercat Cross,false,meal market,jhm,2002-06-10T18:08:19,jhm,2002-06-10T18:08:51
MP/JO/569,JO,569,C/EGD/2122,Yard,false,James Thomsouns's yard,jhm,2002-06-10T18:50:20,jhm,2002-06-10T18:50:51
MP/JO/570,JO,570,C/EGD/2122,Cross,false,Fish cross,jhm,2002-06-10T18:50:52,jhm,2002-06-10T18:51:00
MP/JO/571,JO,571,C/EGD/2122,Mercat Cross,false,meal market,jhm,2002-06-10T18:51:00,jhm,2002-06-10T18:51:10
MP/JO/572,JO,572,C/EGD/2123,Yard,false,James Thomsoun's yard,jhm,2002-06-10T20:51:06,jhm,2002-06-10T20:51:34
MP/JO/573,JO,573,C/EGD/2123,Cross,false,Fish cross,jhm,2002-06-10T20:51:36,jhm,2002-06-10T20:51:41
MP/JO/574,JO,574,C/EGD/2123,Mercat Cross,false,meal mercat,jhm,2002-06-10T20:51:42,jhm,2002-06-10T20:51:53
MP/JO/575,JO,575,C/EGD/2141,House,false,own house,jhm,2002-06-10T21:50:22,jhm,2002-06-10T21:50:27
MP/JO/576,JO,576,C/EGD/2141,Field,false,assorted fields,jhm,2002-06-10T21:50:28,jhm,2002-06-10T21:50:44
MP/JO/577,JO,577,C/JO/3046,Links,false,Links of Muness,jhm,2002-06-17T16:04:29,jhm,2002-06-17T16:04:42
