ordealref,ordealsystemid,ordealid,trialref,ordealexists,ordealdate,ordealdate_as_date,ordealtype,createdby,createdate,lastupdatedby,lastupdatedon
OD/LA/48,LA,48,T/LA/602,true,22/12/1628,2028-12-22T00:00:00,Pricking,LEM,2002-05-07T09:30:08,LEM,2002-05-07T09:30:18
OD/LA/5,LA,5,T/LA/288,true,,,Bierricht (corpse bleeds),LEM,2001-06-29T09:44:46,LEM,2001-06-29T09:54:59
OD/LA/54,LA,54,T/LA/1502,true,,,Pricking,LEM,2002-07-10T10:42:12,LEM,2002-07-10T10:43:16
OD/LA/55,LA,55,T/LA/1503,true,,,Pricking,LEM,2002-07-10T13:18:27,LEM,2002-07-10T13:18:31
OD/LA/56,LA,56,T/LA/1506,true,,,Pricking,LEM,2002-07-10T13:49:55,LEM,2002-07-10T13:49:59
OD/LA/57,LA,57,T/LA/157,true,11/11/1643,2043-11-11T00:00:00,Pricking,LEM,2002-07-10T16:12:50,LEM,2002-07-10T16:13:01
OD/LA/58,LA,58,T/LA/157,true,18/11/1643,2043-11-18T00:00:00,Pricking,LEM,2002-07-12T13:30:10,LEM,2002-07-12T13:30:22
OD/LA/59,LA,59,T/LA/1119,true,,,Pricking,LEM,2002-07-15T16:42:54,LEM,2002-07-15T16:43:38
OD/LA/6,LA,6,T/LA/292,true,,,Bierricht (corpse bleeds),LEM,2001-06-29T10:30:18,LEM,2001-06-29T10:30:21
OD/LA/60,LA,60,T/LA/1149,true,,,Bierricht (corpse bleeds),LEM,2002-07-19T12:17:54,LEM,2002-07-19T12:17:58
OD/LA/7,LA,7,T/LA/395,true,,,Pricking,LEM,2001-07-10T15:33:19,LEM,2001-07-10T15:33:24
OD/LA/79,LA,79,T/LA/1679,true,,,Pricking,LEM,2002-07-30T10:53:54,LEM,2002-07-30T10:53:56
OD/LA/80,LA,80,T/LA/1683,true,,,Pricking,LEM,2002-07-30T11:09:15,LEM,2002-07-30T11:09:25
OD/LA/81,LA,81,T/LA/1693,true,,,Pricking,LEM,2002-07-30T11:55:56,LEM,2002-07-30T11:55:59
OD/LA/82,LA,82,T/LA/1721,true,,,Pricking,LEM,2002-08-01T09:45:29,LEM,2002-08-01T09:45:36
OD/LA/83,LA,83,T/LA/1718,true,,,Pricking,LEM,2002-08-01T09:46:13,LEM,2002-08-01T09:46:15
OD/LA/84,LA,84,T/LA/1121,true,,,Pricking,LEM,2002-08-01T10:54:18,LEM,2002-08-01T10:54:29
OD/LA/85,LA,85,T/LA/1750,true,,,Pricking,LEM,2002-08-02T11:48:31,LEM,2002-08-02T11:48:34
OD/LA/92,LA,92,T/JO/1174,true,,,Pricking,LEM,2002-09-02T12:57:57,LEM,2002-09-02T12:58:00
