maliceref,malicesystemid,maliceid,caseref,causeofmalice,createdby,createdate,lastupdatedby,lastupdatedon
MA/LA/43,LA,43,C/EGD/613,Revenge,LEM,2001-09-21T10:10:21,LEM,2001-09-21T10:10:27
MA/LA/44,LA,44,C/EGD/128,Grudge,LEM,2001-09-25T14:58:38,LEM,2001-09-25T14:59:19
MA/LA/45,LA,45,C/EGD/141,Debt,LEM,2001-10-01T13:09:16,LEM,2001-10-01T13:09:23
MA/LA/46,LA,46,C/EGD/141,Revenge for being called a witch,LEM,2001-10-01T13:12:27,LEM,2001-10-01T13:12:31
MA/LA/47,LA,47,C/EGD/59,Revenge,LEM,2001-10-09T09:26:05,LEM,2001-10-09T09:26:08
MA/LA/48,LA,48,C/EGD/103,Revenge,LEM,2001-10-10T09:28:02,LEM,2001-10-10T09:28:04
MA/LA/49,LA,49,C/EGD/1268,Revenge,LEM,2001-10-16T15:26:40,LEM,2001-10-16T15:26:41
MA/LA/5,LA,5,C/EGD/170,Revenge,LEM,2001-05-21T15:04:07,LEM,2001-05-21T15:04:13
MA/LA/50,LA,50,C/EGD/1268,Revenge for being called a witch,LEM,2001-10-16T15:26:42,LEM,2001-10-16T15:26:49
MA/LA/52,LA,52,C/EGD/1268,Refusal of alms,LEM,2001-10-16T15:27:04,LEM,2001-10-16T15:27:10
MA/LA/53,LA,53,C/EGD/1269,Failed business interaction,LEM,2001-10-16T15:49:07,LEM,2001-10-16T15:49:21
MA/LA/54,LA,54,C/EGD/1269,Revenge,LEM,2001-10-16T15:49:22,LEM,2001-10-16T15:49:28
MA/LA/55,LA,55,C/EGD/1278,Revenge,LEM,2001-10-18T12:30:05,LEM,2001-10-18T12:30:55
MA/LA/56,LA,56,C/EGD/1339,Revenge,LEM,2001-10-19T10:50:00,LEM,2001-10-19T10:50:02
MA/LA/57,LA,57,C/EGD/1308,Envy,LEM,2001-10-22T15:47:50,LEM,2001-10-22T15:47:53
MA/LA/58,LA,58,C/EGD/1308,,LEM,2001-10-22T15:47:55,LEM,2001-10-22T15:48:09
MA/LA/59,LA,59,C/EGD/1310,Revenge,LEM,2001-10-23T11:09:45,LEM,2001-10-23T11:11:17
MA/LA/6,LA,6,C/EGD/179,Revenge for being called a witch,LEM,2001-05-21T16:41:23,LEM,2001-05-21T16:41:51
MA/LA/60,LA,60,C/EGD/1745,Revenge,LEM,2002-01-16T12:25:00,LEM,2002-01-16T12:25:05
MA/LA/65,LA,65,C/EGD/736,Grudge,LEM,2002-02-18T15:02:16,LEM,2002-02-18T15:02:20
MA/LA/66,LA,66,C/EGD/729,Revenge for being called a witch,LEM,2002-02-18T15:16:01,LEM,2002-02-18T15:16:15
MA/LA/67,LA,67,C/EGD/166,Refusal of alms,LEM,2002-04-17T22:26:06,LEM,2002-04-17T22:26:24
MA/LA/68,LA,68,C/EGD/162,Revenge,LEM,2002-05-06T20:13:36,LEM,2002-05-06T20:13:46
MA/LA/69,LA,69,C/EGD/1058,Business interactions,LEM,2002-05-07T09:19:42,LEM,2002-05-07T09:19:49
MA/LA/7,LA,7,C/EGD/183,Taunting,LEM,2001-05-22T14:44:39,LEM,2001-05-22T14:44:43
MA/LA/70,LA,70,C/EGD/1058,Revenge for being called a witch,LEM,2002-05-07T09:21:01,LEM,2002-05-07T09:21:05
MA/LA/8,LA,8,C/EGD/183,Debt,LEM,2001-05-22T14:45:49,LEM,2001-05-22T14:45:52
MA/LA/80,LA,80,C/EGD/434,Business interactions,LEM,2002-06-13T10:03:18,LEM,2002-06-13T10:03:20
MA/LA/81,LA,81,C/EGD/434,Failed business interaction,LEM,2002-06-13T10:03:21,LEM,2002-06-13T10:03:36
MA/LA/9,LA,9,C/EGD/183,Failed business interaction,LEM,2001-05-22T14:47:46,LEM,2001-05-22T14:49:21
MA/LA/93,LA,93,C/EGD/217,Social slight,LEM,2002-07-10T10:12:56,LEM,2002-07-10T10:13:06
MA/LA/94,LA,94,C/EGD/784,Revenge,LEM,2002-07-15T12:54:10,LEM,2002-07-15T12:54:13
MA/LA/95,LA,95,C/EGD/783,Social slight,LEM,2002-07-15T16:42:31,LEM,2002-07-15T16:42:33
MA/LA/96,LA,96,C/EGD/791,Social slight,LEM,2002-07-19T11:14:27,LEM,2002-07-19T11:14:29
MA/LA/97,LA,97,C/LA/3135,Revenge for being called a witch,LEM,2002-07-19T12:51:41,LEM,2002-07-19T12:51:44
