imprisonref,imprisonsystemid,imprisonid,trialref,centraltrialimprison,imprisondate,imprisondate_as_date,prison,location,moving,fate_in_prison,createdby,createdate,lastupdatedby,lastupdatedon
IM/JO/200,JO,200,T/JO/631,false,5/1678,1978-05-01T00:00:00,Tolbooth,Prestonpans,false,,jhm,2001-08-17T13:13:49,jhm,2001-08-17T13:14:08
IM/JO/201,JO,201,T/JO/632,false,5/1678,1978-05-01T00:00:00,Tolbooth,Prestonpans,false,,jhm,2001-08-17T13:21:03,jhm,2001-08-17T13:21:12
IM/JO/202,JO,202,T/JO/633,false,1/1673,1973-01-01T00:00:00,Tolbooth,Scalloway,false,,jhm,2001-08-17T15:00:59,jhm,2001-08-17T15:01:13
IM/JO/203,JO,203,T/JO/634,false,1/1673,1973-01-01T00:00:00,Tolbooth,Scalloway,false,,jhm,2001-08-17T15:06:04,jhm,2001-08-17T15:06:13
IM/JO/204,JO,204,T/JO/637,false,1/1673,1973-01-01T00:00:00,Tolbooth,Scalloway,false,,jhm,2001-08-29T09:41:21,jhm,2001-08-29T09:41:35
IM/JO/205,JO,205,T/JO/638,false,1/1673,1973-01-01T00:00:00,Tolbooth,Scalloway,false,,jhm,2001-08-29T10:00:48,jhm,2001-08-29T10:00:58
IM/JO/206,JO,206,T/JO/640,false,4/1669,1969-04-01T00:00:00,Tolbooth,Duns,false,,jhm,2001-08-29T15:02:32,jhm,2001-08-29T15:02:46
IM/JO/207,JO,207,T/JO/641,false,7/1669,1969-07-01T00:00:00,,Aberdeen,false,,jhm,2001-08-29T16:21:13,jhm,2001-08-29T16:21:23
IM/JO/208,JO,208,T/JO/642,false,7/1669,1969-07-01T00:00:00,,Aberdeen,false,,jhm,2001-08-29T16:26:19,jhm,2001-08-29T16:26:35
IM/JO/209,JO,209,T/JO/643,false,7/1669,1969-07-01T00:00:00,,Aberdeen,false,,jhm,2001-08-30T09:13:05,jhm,2001-08-30T09:13:15
IM/JO/21,JO,21,T/JO/94,false,9/6/1649,2049-06-09T00:00:00,,Haddington,false,,jhm,2001-06-13T12:33:31,jhm,2001-06-13T12:33:58
IM/JO/210,JO,210,T/JO/644,false,7/1669,1969-07-01T00:00:00,,Aberdeen,false,,jhm,2001-08-30T09:21:03,jhm,2001-08-30T09:21:17
IM/JO/211,JO,211,T/JO/645,false,9/1669,1969-09-01T00:00:00,Castle,Tioram,false,,jhm,2001-08-30T10:31:34,jhm,2001-08-30T10:31:49
IM/JO/212,JO,212,T/JO/646,false,8/1669,1969-08-01T00:00:00,Castle,Tioram,false,,jhm,2001-08-30T10:42:09,jhm,2001-08-30T10:42:19
IM/JO/213,JO,213,T/JO/647,false,,,Castle,Tioram,false,,jhm,2001-08-30T10:46:52,jhm,2002-10-11T16:54:13
IM/JO/214,JO,214,T/JO/648,false,11/1669,1969-11-01T00:00:00,Tolbooth,Dundee,false,,jhm,2001-08-30T10:50:52,jhm,2001-08-30T10:51:04
IM/JO/215,JO,215,T/JO/649,false,5/1670,1970-05-01T00:00:00,Tolbooth,Lanark,false,,jhm,2001-08-30T11:13:58,jhm,2001-08-30T11:21:05
IM/JO/216,JO,216,T/JO/769,false,1665,1965-06-01T00:00:00,Tolbooth,Stirling,false,Released,jhm,2001-08-31T13:06:36,jhm,2001-10-19T09:24:47
IM/JO/217,JO,217,T/JO/769,true,12/1664,1964-12-01T00:00:00,Tolbooth,Edinburgh,false,Moved,jhm,2001-08-31T13:07:00,jhm,2001-10-19T09:25:14
IM/JO/218,JO,218,T/JO/770,false,,,,Forfar,false,,jhm,2001-08-31T13:10:44,LEM,2002-10-28T12:59:55
IM/JO/219,JO,219,T/JO/772,false,5/1666,1966-05-01T00:00:00,Tolbooth,Anstruther Wester,false,,jhm,2001-08-31T14:35:59,jhm,2001-08-31T14:36:14
IM/JO/220,JO,220,T/JO/773,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:06:45,jhm,2001-08-31T15:06:56
IM/JO/221,JO,221,T/JO/774,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:16:09,jhm,2001-08-31T15:16:20
IM/JO/222,JO,222,T/JO/775,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:19:41,jhm,2001-08-31T15:19:52
IM/JO/223,JO,223,T/JO/776,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:22:57,jhm,2001-08-31T15:23:07
IM/JO/224,JO,224,T/JO/777,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:25:57,jhm,2001-08-31T15:26:06
IM/JO/225,JO,225,T/JO/778,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:35:33,jhm,2001-08-31T15:35:44
IM/JO/226,JO,226,T/JO/779,false,9/1666,1966-09-01T00:00:00,Tolbooth,Torryburn,false,,jhm,2001-08-31T15:38:25,jhm,2001-08-31T15:38:35
IM/JO/227,JO,227,T/JO/780,false,1/1667,1967-01-01T00:00:00,Tolbooth,St Andrews,false,,jhm,2001-08-31T15:45:06,jhm,2001-08-31T15:45:18
IM/JO/228,JO,228,T/JO/769,false,1664,1964-06-01T00:00:00,,Dunblane,false,Moved,jhm,2001-08-31T16:05:14,jhm,2001-08-31T16:05:41
